,ingredient,uses,warnings,before_taking,Side Effects
936,Takhzyro,"Takhzyro is used to prevent hereditary angioedema (HAE), Takhzyro helps to reduce the number and severity of hereditary angioedema attacks. Takhzyro works by lowering the activity of a protein called kallikrein which helps to prevent the swelling and related symptoms of HAE. Takhzyro is usually given every two weeks as an injection under the skin using a ready-to-use, prefilled syringe. The dose depends on age and can change to every 4 weeks if symptoms have improved. Hereditary angioedema is a rare condition that causes rapid attacks of swelling in areas under the skin around the face, arms, legs, and also the throat, which can be life-threatening if it blocks off the airways. People with hereditary angioedema have high levels of a protein called bradykinin, which makes fluid leak fluid into the surrounding tissue, causing swelling attacks. Takhzyro ( lanadelumab-flyo ) works by blocking another protein in the blood called 'kallikrein', which in turn reduces the level of bradykinin, which helps to prevent the swelling and symptoms of angioedema. Takhzyro approval by the FDA was originally on February 3, 2023, and it is now approved to prevent attacks of hereditary angioedema (HAE) in adult and pediatric patients 2 years and older. FDA approval was supported by data from HELP Study, the  HELP OLE Study and the Phase 3 SPRING Study (NCT SHP643-301). Takhzyro is a plasma kallikrein inhibitor (monoclonal antibody).","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies , and all medicines you use.",You should not use Takhzyro if allergic to the active ingredient lanadelumab. This medicine is not approved for use by anyone younger than 2 years old. This medicine can affect the results of certain medical tests. Tell any doctor who treats you that you are using Takhzyro. It is not known whether this medicine will harm an unborn baby. Tell your doctor if you are pregnant or plan to become pregnant. It may not be safe to breastfeed while using this medicine. Ask your doctor about any risk.,"Common Takhzyro side effects may include headache , cold symptoms such as stuffy nose, sneezing, sore throat , rash; or pain, redness, or bruising where the injection was given. Get emergency medical help if you have signs of an allergic reaction to this medicine, such as hives, fast heartbeats, difficult breathing, feeling light-headed, or swelling of your face, lips, tongue, or throat. This is not a complete list of side effects, and others may occur. You can call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088."
937,Taltz,"Taltz injection is used to treat plaque psoriasis , psoriatic arthritis , ankylosing spondylitis, and non-radiographic axial spondyloarthritis, which are all autoimmune disorders. Taltz works by reducing inflammation, which helps improve the symptoms of these conditions. Taltz is a monoclonal antibody that works by binding and neutralizing a naturally occurring protein called interleukin 17A (IL-17A).  This protein is involved in inflammation and how the immune system responds. When Taltz ( ixekizumab ) binds to the protein, inflammation is reduced, and this improves symptoms of plaque psoriasis, psoriatic arthritis, ankylosing spondylitis, and non-radiographic axial spondyloarthritis. Taltz is called an interleukin inhibitor as it blocks and inhibits interleukin 17A . Taltz injection can be self-administered or given by a caregiver using the autoinjector or prefilled syringe.","Infections. This medicine affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, chills, sweating, muscle pain, weight loss, skin sores, shortness of breath, cough with red or pink mucus, increased urination, or painful urination. Tuberculosis . Your doctor may perform tests to make sure you do not have tuberculosis or other infections Hypersensitivity. Serious hypersensitivity reactions can occur with this medicine. If an allergic reaction occurs discontinue treatment immediately and initiate appropriate therapy. Taltz injection is contraindicated in patients who have had previous serious hypersensitivity reaction to this medicine. Immunization. You should not have live vaccines while being treated with this medicine. Inflammatory bowel disease. Crohn's disease and ulcerative colitis, including exacerbations have occurred during treatment with this medicine. Patients should be monitored closely when this medicine is prescribed to patients with inflammatory bowel disease (IBD). If IBD develops and appropriate medical management should be started.","You should not use this medicine if you are allergic to the active ingredient ixekizumab, or any of the inactive ingredients contained in this medicine. To check for a complete list of ingredients, see the Ingredients section below. To make sure Taltz injection is safe for you, tell your doctor if you have: Your doctor may perform tests to make sure you do not have tuberculosis or other infections. Make sure you are up to date with all age-appropriate vaccinations before you start treatment with this medicine. Tell your doctor if you are pregnant or plan to become pregnant . It is not known if Taltz can harm your unborn baby. If you are pregnant or you become pregnant, your name may be listed on a pregnancy registry to track the effects of ixekizumab on the baby. The purpose of this registry is to collect information about the health of you and your baby. Tell your doctor if you are breastfeeding or planning to breastfeed. It is not known whether this medicine passes into breast milk or if it could harm a nursing baby.","Common Taltz side effects may include nausea, ear infection, cold symptoms such as stuffy nose, sneezing, sore throat, and also pain or redness where the medicine was injected, Allergic reaction: Immediately get emergency medical help if you have signs of an allergic reaction such as rash, chest tightness, or difficulty breathing. feeling like you might pass out, swelling of your face, eyelids, lips, mouth, tongue, or throat. Taltz may cause other serious side effects Call your doctor at once if you have: This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
938,Tamiflu,Tamiflu is an antiviral medication that blocks the actions of influenza virus types A and B in your body. Tamiflu is used to treat flu symptoms caused by influenza virus in people have had symptoms for less than 2 days. This medicine may also be given to prevent influenza in people who may be exposed but do not yet have symptoms. Tamiflu will not treat the common cold . Tamiflu should not be used in place of getting a yearly flu shot. The Centers for Disease Control recommends an annual flu shot to help protect you each year from new strains of influenza virus.,"Tamiflu is used to treat flu symptoms caused by influenza virus in patients who have had symptoms for less than 2 days. It may also be given to prevent influenza in people who may be exposed but do not yet have symptoms. This medicine will not treat the common cold. Before taking Tamiflu, tell your doctor if you have received a nasal flu vaccine within the past 2 weeks, or if you have kidney disease, heart disease, lung disease, or any other serious disease or health problem. Also tell your doctor if you have any condition causing swelling or disorder of the brain. Take Tamiflu for as many days as it has been prescribed for you even if you begin to feel better. Your symptoms may start to improve before the infection is completely treated. Some people using oseltamivir have had rare side effects of sudden confusion, delirium, hallucinations, unusual behavior, or self-injury. These symptoms have occurred most often in children. It is not known whether this medicine was the exact cause of these symptoms. However, anyone using this medicine should be watched closely for signs of confusion or unusual behavior. Call a doctor at once if you or the child using this medicine has any of these symptoms.","You should not use Tamiflu if you are allergic to oseltamivir. Do not use Tamiflu to treat flu symptoms in a child younger than 2 weeks old. Children as young as 1 year old may use this medicine to prevent flu symptoms. Tell your doctor if you have ever had: kidney disease (or if you are on dialysis); heart disease or chronic lung disease; a condition causing swelling or disorder of the brain; a weak immune system (caused by disease or by using certain medicine); hereditary fructose intolerance; or if you have used a nasal flu vaccine ( FluMist ) within the past 2 weeks. It is not known whether this medicine will harm an unborn baby. However, getting sick with influenza during pregnancy can cause complications leading to birth defects, low birth weight, preterm delivery, or stillbirth. Your doctor will decide whether you should receive oseltamivir if you are pregnant. The Centers for Disease Control and Prevention (CDC) recommends that pregnant women may receive a yearly flu vaccine to prevent influenza. Oseltamivir is not to be used in place of the yearly flu shot. It is not known whether Tamiflu passes into breast milk or if it could harm a nursing baby. Tell your doctor if you are breast-feeding a baby.","Get emergency medical help if you have signs of an allergic reaction to Tamiflu ( hives , difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Some people using Tamiflu (especially children) have had sudden unusual changes in mood or behavior. It is not certain that oseltamivir is the exact cause of these symptoms. Even without using oseltamivir, anyone with influenza can have neurologic or behavioral symptoms. Call your doctor right away if the person using this medicine has: sudden confusion; tremors or shaking; unusual behavior; or hallucinations (hearing or seeing things that are not there). Common Tamiflu side effects may include: nausea, vomiting ; headache ; or pain. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
939,Tamoxifen,"Tamoxifen blocks the actions of estrogen, a female hormone. Certain types of breast cancer require estrogen to grow. Tamoxifen is used to treat some types of breast cancer in men and women. Tamoxifen is also used to lower a woman's chance of developing breast cancer if she has a high risk (such as a family history of breast cancer).","Taking tamoxifen may increase your risk of uterine cancer , liver cancer, stroke, or a blood clot in the lung, which can be fatal. Do not use tamoxifen if you are pregnant. It could harm the unborn baby. Use a barrier form of birth control (such as a condom or diaphragm with spermicide) while you are using this medication and for at least 2 months after your treatment ends. You should not use tamoxifen if you are allergic to it, if you have a history of blood clots in your veins or your lungs, or if you are taking a blood thinner such as warfarin (Coumadin). Before using this medicine, tell your doctor if you have liver disease, high triglycerides (a type of fat in the blood), a history of cataract, or a history of stroke or blood clot. Also tell your doctor if you if you are receiving chemotherapy or radiation treatment. If you are taking tamoxifen to reduce your risk of breast cancer, you may need to take your first dose while you are having a menstrual period. You may also need to have a pregnancy test before you start taking this medicine, to make sure you are not pregnant. Follow your doctor's instructions. To make sure this medication is not causing harmful effects, your doctor may want you to have mammograms and to perform routine breast self-exams on a regular basis. Your liver function may also need to be tested. Visit your doctor regularly.","You should not use tamoxifen if you are allergic to it. Tamoxifen may harm an unborn baby. You may need a pregnancy test to make sure you are not pregnant. Use birth control while using tamoxifen and for at least 2 months after your last dose. Tell your doctor if you become pregnant. To prevent pregnancy while using tamoxifen, use a barrier form of birth control: condom, diaphragm, cervical cap, or contraceptive sponge. Avoid using hormonal birth control, including birth control pills , injections, implants, skin patches, and vaginal rings. You should not use tamoxifen to reduce your risk of breast cancer if you also take warfarin ( Coumadin , Jantoven ). To make sure tamoxifen is safe for you, tell your doctor if you have: a stroke or blood clot; liver disease; high cholesterol or triglycerides (a type of fat in the blood); cataracts; chemotherapy; or if you also use anastrozole or letrozole . Taking tamoxifen may increase your risk of uterine cancer, liver cancer, stroke, or a blood clot in the lung, which can be fatal. Talk with your doctor about your own risks. Do not breastfeed while using tamoxifen, and for at least 3 months after your last dose. This medicine is not approved for use by anyone younger than 18 years old.","Get emergency medical help if you have signs of an allergic reaction to tamoxifen: hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Tamoxifen can increase your risk of stroke or blood clots. Call your doctor at once if you have : signs of a stroke - sudden numbness or weakness, severe headache , slurred speech, problems with vision or balance; signs of a blood clot in the lung - chest pain, sudden cough or shortness of breath, dizziness , coughing up blood; or signs of a blood clot deep in the body - pain, swelling, or warmth in one leg. Also call your doctor at once if you have: unusual vaginal bleeding or discharge; blurred vision, eye pain or redness, seeing halos around lights; changes in your menstrual periods; pain or pressure in your pelvic area; a new breast lump; liver problems - nausea , upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or high blood calcium - confusion, tiredness, nausea, vomiting , loss of appetite, constipation , increased thirst or urination, weight loss . Common tamoxifen side effects may include: vaginal bleeding or discharge; hot flashes ; swelling, weight gain; nausea; or mood changes. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
940,Tamsulosin,"Tamsulosin belongs to a class of medications called alpha blockers. It works by relaxing the muscles in the prostate and bladder so that urine can flow easily. Tamsulosin capsules are used in men to treat the symptoms of an enlarged prostate ( benign prostatic hyperplasia or BPH ) which include difficulty urinating (hesitation, dribbling, weak stream, and incomplete bladder emptying), painful urination, and urinary frequency and urgency. Tamsulosin is not approved for use in women or children.","You should not use this medication if you are allergic to tamsulosin. Do not take tamsulosin with other similar medicines such as alfuzosin (Uroxatral), doxazosin (Cardura), prazosin (Minipress), silodosin (Rapaflo), or terazosin (Hytrin). Tamsulosin may cause dizziness or fainting, especially when you first start taking it or when you start taking it again. Be careful if you drive or do anything that requires you to be alert. Avoid standing for long periods of time or becoming overheated during exercise and in hot weather. Avoid getting up too fast from a sitting or lying position, or you may feel dizzy. If you stop taking this medicine for any reason, call your doctor before you start taking it again. You may need a dose adjustment. Tamsulosin can affect your pupils during cataract surgery. Tell your eye surgeon ahead of time that you are using this medication. Do not stop using this medication before surgery unless your surgeon tells you to. There are many other drugs that can interact with this medicine. Tell your doctor about all medications you use. Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","To make sure tamsulosin capsules are safe for you, tell your doctor if you have ever had: prostate cancer ; low blood pressure ; an allergy to sulfa drugs ; or liver or kidney disease. Tamsulosin can affect your pupils. If you have cataract surgery, tell the surgeon you use this medicine . Ask your doctor about prostate cancer screening before and while taking this medicine. Tamsulosin is not approved for use in women.","Get emergency medical help if you have signs of an allergic reaction to tamsulosin (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction ( fever , sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Tamsulosin may lower your blood pressure and may cause dizziness or fainting, especially when you first start taking it or your dose changes. Tamsulosin may cause serious side effects. Stop using this medicine and call your doctor at once if you have: a light-headed feeling, like you might pass out; or a painful erection that lasts 4 hours or longer. Common tamsulosin side effects may include: abnormal ejaculation, decreased amount of semen; dizziness, drowsiness , weakness; runny or stuffy nose, sore throat, cough ; back pain , chest pain, headache ; nausea , diarrhea ; tooth problems; blurred vision; sleep problems ( insomnia ); or decreased interest in sex. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
941,Tazarotene,"Tazarotene topical is a type of retinoid derived from vitamin A that is available as a cream, gel, lotion, or foam. Tazarotene may be used to treat conditions such as psoriasis and acne, or improve the appearance and texture of skin. Different brands and strengths of tazarotene are approved for different uses, for example: Tazarotene topical works by slowing the overgrowth of skin cells and decreasing inflammation in conditions such as acne and psoriasis. When used in antiaging products it boosts collagen production to increase the thickness of the outer layers of skin, improving the appearance of fine lines and some skin discoloration. Tazarotene will not eliminate or prevent wrinkles or restore more youthful skin. It will not repair sun damage or reverse the effects of photoaging. Tazarotene is sometimes used off-label to treat other conditions as well.","Tazarotene can cause birth defects. A pregnancy test should be conducted within 2 weeks of starting treatment and it should not be used in women who are pregnant.  Women of childbearing potential should use effective birth control while using tazarotene to prevent pregnancy. Stop using tazarotene and tell your doctor right away if you become pregnant, if you stop using birth control, or if you miss a menstrual period. You may get sunburned more easily while using tazarotene. Avoid sun, sunlamps, and tanning beds. Use sunscreen and wear clothing and eyewear that protects you from the sun. Some weather conditions, such as extremely cold or windy days, may also irritate the skin. Do not use it if you are also taking medications that increase photosensitivity, such as doxycycline. Some people may experience excessive skin irritation when starting tazarotene treatment, such as increased redness, itchiness, burning, or peeling. If this occurs, stop using tazarotene until your skin improves or reduce the amount you put on or how frequently you apply it. Do not apply to eczema. Assess pigmented areas of the face and neck before applying tazarotene. Do not apply to skin cancers including Lentigo maligna, a subtype of melanoma. Tazarotene may cause harm if swallowed. If tazarotene cream is swallowed, call a doctor or poison control center right away.","You should not use tazarotene topical if you are allergic to it or any of the inactive ingredients present in the product. To make sure tazarotene is safe for you, tell your doctor if you have ever had: Some brands of tazarotene are not approved for use in children and young adults, for example: Do not apply tazarotene topical if you are pregnant, may be pregnant, or intend to become pregnant. Tazarotene can cause birth defects and you must have a negative pregnancy test within 2 weeks of starting this treatment. Stop using tazarotene and tell your doctor right away if you become pregnant, if you stop using birth control, or if you miss a menstrual period. It may not be safe to breastfeed while using tazarotene. Ask your doctor about any risks.","Get emergency medical help if you have signs of an allergic reaction to tazarotene such as hives, difficulty breathing, or swelling of your face, lips, tongue, or throat. Stop using tazarotene and call your doctor at once if you have severe skin irritation such as: Common tazarotene topical side effects may include: This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
942,Tazorac,"Tazorac is a compound similar to vitamin A . It helps the skin to renew itself more quickly and may improve the appearance and texture of skin. Tazorac is used to treat acne vulgaris in adults and adolescents who are at least 12 years old. Tazorac is also used to treat plaque psoriasis (raised, silvery flaking of the skin) in adults. Tazorac is available as a cream or gel.","Tazorac can cause birth defects. Do not use if you are pregnant. Use effective birth control to prevent pregnancy. Stop using Tazorac and tell your doctor right away if you become pregnant, if you stop using birth control, or if you miss a menstrual period. You may get sunburned more easily. Avoid sun, sunlamps, and tanning beds. Use sunscreen and wear clothing and eyewear that protects you from the sun. Your skin may look worse before it looks better.","You should not use Tazorac if you are allergic to it, or if you are pregnant or may become pregnant. You must have a negative pregnancy test within 2 weeks before starting this treatment. To make sure Tazorac is safe for you, tell your doctor if you have ever had: eczema , sunburn, or another skin condition; skin cancer; lentigo maligna (a type of skin cancer); an allergic reaction to a skin product; or if you work outdoors. Do not use Tazorac if you are pregnant. It could harm the unborn baby or cause birth defects. Use effective birth control to prevent pregnancy while you are using this medicine. Stop using Tazorac and tell your doctor right away if you become pregnant, if you stop using birth control, or if you miss a menstrual period. It may not be safe to breastfeed while using this medicine. Ask your doctor about any risk. Tazorac cream and gel should not be used to treat acne in a child younger than 12 years old. Tazorac gel should not be used to treat psoriasis in anyone under 12 years old. Tazorac Cream should not be used to treat psoriasis in anyone under 18 years old.","Get emergency medical help if you have signs of an allergic reaction to Tazorac : hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Tazorac and call your doctor at once if you have: severe skin irritation (pain, dryness, flaking, peeling, burning, stinging, itching) after applying the medicine; blistering or peeling skin; severe redness or discomfort; or swelling, warmth, oozing, or other signs of skin infection . Common Tazorac side effects may include: dry, scaly, or peeling skin; skin pain, redness or burning; or itching or other irritation of treated skin. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
943,Tecartus,Tecartus is a genetically modified T cell immunotherapy medicine. Tecartus is used to treat mantle cell lymphoma in adults. Tecartus is also used to treat acute lymphoblastic leukemia in adults. Tecartus is made using white blood cells removed from blood that is drawn from your body through a vein. This medicine is given after other treatments did not work or have stopped working.,"A common but serious side effect of Tecartus is called cytokine release syndrome , which causes fever, chills, trouble breathing, vomiting , and other symptoms. Your caregivers will have medication available to quickly treat this condition if it occurs. It is important to tell your healthcare provider that you received Tecartus and to show them your Tecartus Patient Wallet Card. Your healthcare provider may give you other medicines to treat your side effects.","You should not be treated with Tecartus while you have an active infection (such as fever, chills, flu-like symptoms). To make sure Tecartus is safe for you, tell your doctor if you have ever had:: an active or chronic infection; a stroke; a seizure; memory problems; breathing problems; hepatitis B or C; HIV ; heart problems; liver disease; kidney disease; or if you have received a vaccine within the past 6 weeks. Using Tecartus may increase your risk of developing other cancers, such as leukemia . Ask your doctor about this risk. You may need to have a negative pregnancy test before starting this treatment. Tell your doctor if you are pregnant. Brexucabtagene autoleucel may harm an unborn baby. Use effective birth control to prevent pregnancy. Talk with your doctor if you plan to become pregnant after you are treated with this medicine. It may not be safe to breastfeed while using Tecartus. Ask your doctor about any risk.","Get emergency medical help if you have signs of an allergic reaction to Tecartus: hives ; difficult breathing; swelling of your face, lips, tongue, or throat. A common but serious side effect of this medicine is called cytokine release syndrome (CRS) . Tell your caregivers right away if you have signs of this condition: fever, chills, dizziness , confusion, vomiting, diarrhea , fast heartbeats, trouble breathing, or feeling very weak or tired. Your caregivers will have medication available to quickly treat CRS if it occurs. Call your doctor at once if you have: severe drowsiness; trouble speaking or writing; trouble with daily activities; a seizure; severe ongoing nausea , vomiting, or diarrhea; low blood cell counts - fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or fluid build-up in or around the lungs - pain when you breathe, feeling short of breath while lying down, wheezing, gasping for breath, cough with foamy mucus, cold and clammy skin, anxiety , rapid heartbeats. You may need to be treated in a hospital if you have certain side effects. Common Tecartus side effects may include: slurred speech; fever, chills, cough, or other signs of infection; feeling tired or light-headed; fast or irregular heartbeats; tremor, problems with speech or muscle movement; headache , muscle or joint pain; nausea, loss of appetite; diarrhea, constipation ; swelling, kidney problems; rash; or sleep problems ( insomnia ). This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
944,Tecentriq,"Tecentriq is a monoclonal antibody that affects the actions of the body's immune system. It works to strengthen your immune system to help your body fight against tumor cells in non-small cell lung cancer, small cell lung cancer, hepatocellular carcinoma, melanoma, and alveolar soft part sarcoma. Tecentriq belongs to a class of drugs called programmed death-ligand 1 (PD-L1) inhibitors. It blocks interactions in the PD-1/PD-L1 pathway (proteins found on the body’s immune cells and some cancer cells) to help the body’s immune system fight cancer cells.","Tecentriq affects your immune system and may cause it to attack normal healthy tissues or organs, leading to serious or life-threatening medical problems. Call your doctor at once if you have new or worsening symptoms such as: chest pain, cough, breathing problems, stomach pain, vomiting, changes in appetite or weight, increased thirst or urination, headaches, neck stiffness, vision problems, tiredness, mood changes, muscle weakness, bleeding or bruising, bloody or tarry stools, dark urine, or yellowing of the skin or eyes.","You should not use Tecentriq if you are allergic to atezolizumab. To make sure Tecentriq is safe for you, tell your doctor if you have: an infection; an immune system disorder such as lupus , ulcerative colitis , or Crohn's disease ; an organ transplant ; radiation treatment to your chest area; a breathing disorder; liver disease; or a nervous system disorder such as myasthenia gravis or Guillain Barré syndrome. Tell your doctor if you plan to receive a stem cell transplant using donor stem cells. You may need to have a negative pregnancy test before starting this treatment. Do not use Tecentriq if you are pregnant. It could harm the unborn baby. Use effective birth control to prevent pregnancy while you are using this medicine and for at least 5 months after your last dose. Tecentriq may affect fertility (ability to have children) in women. However, it is important to use birth control to prevent pregnancy because atezolizumab can harm an unborn baby. You should not breastfeed while using atezolizumab and for at least 5 months after your last dose.","Get emergency medical help if you have signs of an allergic reaction to Tecentriq ( hives , difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Some side effects may occur during the injection. Tell your caregiver right away if you feel dizzy, light-headed, chilled or feverish, itchy, tingly, or have neck or back pain , trouble breathing, or swelling in your face. Call your doctor at once if you have: new or worsening cough, shortness of breath; chest pain, irregular heartbeats; swelling in your ankles; severe stomach pain, nausea, vomiting, diarrhea, bloody or tarry stools; liver problems - right-sided upper stomach pain, loss of appetite, drowsiness, easy bruising or bleeding, dark urine, jaundice (yellowing of the skin or eyes); nervous system problems - neck stiffness, increased sensitivity to light, confusion, severe muscle weakness, numbness or tingling in your hands or feet, vision problems, eye pain or redness; signs of infection - fever, flu symptoms, cough, back pain , painful or frequent urination; or signs of a hormonal disorder - frequent or unusual headaches, dizziness , feeling very tired, mood or behavior changes, hoarse or deepened voice, increased hunger or thirst, increased urination, constipation , hair loss , feeling cold, weight gain, or weight loss . Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common Tecentriq side effects may include: nausea, vomiting, loss of appetite; diarrhea, constipation; anemia, fever, infections; cough, feeling short of breath; liver problems; mouth sores or swelling; high blood pressure, abnormal blood or urine tests; headache, tiredness, weakness joint, muscle, or bone pain; numbness or tingling in your hands or feet; swelling in your legs or arms; rash, itching, sunburn or being more sensitive to sunlight; or hair loss. This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088."
945,Tecfidera,"Tecfidera ( dimethyl fumarate ) is used to treat relapsing forms of multiple sclerosis (MS) to help you have fewer relapses, delay the progression of disability, and slow brain lesion development. Tecfidera may help delay the progression of relapsing forms of MS, but it will not cure it. Tecfidera is a delayed-release capsule that is taken twice daily, it is available as 120 mg or 240 mg of dimethyl fumarate . Multiple sclerosis is a long-term condition that affects the brain and the spinal cord (central nervous system). It is caused by your immune system mistakenly attacking the protective covers (myelin sheaths) that surround the nerves of the spinal cord and brain. The inflammation and damage disrupt communication between the brain and other parts of the body, causing MS symptoms, including walking difficulties, feeling off balance, and blurred or double vision. In relapsing forms of multiple sclerosis, there are flare-ups (relapses or attacks) of symptoms followed by periods of remission when symptoms stabilize or are no longer noticeable. Tecfidera reduces inflammation and damage to nerves that are caused by the immune system attacking the myelin sheath. It is not known exactly how it works, but it is thought Tecfidera's mechanism of action is the active ingredient dimethyl fumarate (DMF) and its metabolite, monomethyl fumarate (MMF) activates a pathway that is involved in oxidative stress, called the Nrf2 (Nuclear factor (erythroid-derived 2)-like 2 (Nrf2) pathway. Tecfidera is FDA-approved for the treatment of relapsing forms of multiple sclerosis (MS), including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults. It received FDA approval on March 27, 2013, for Biogen Inc., Cambridge, MA 02142. A Tecfidera generic is now available under the active ingredient name dimethyl fumarate .","Before taking and while you take Tecfidera, tell your doctor if you have or have had a low white blood cell count or an infection. This medicine may cause a serious viral infection of the brain that can lead to disability or death. Call your doctor right away if you have any change in your mental state, decreased vision, weakness on one side of your body, or problems with speech or walking. These symptoms may start gradually and get worse quickly.","You should not use Tecfidera if you have had a severe allergic reaction to dimethyl fumarate, diroximel fumarate ( Vumerity ), or any of the inactive ingredients contained in this medication. To make sure this medication is safe for you, tell your doctor if you have ever had: Tecfidera is not approved for use by anyone younger than 18 years old. Tell your doctor if you are pregnant or plan to become pregnant, as it is not known if Tecfidera will harm your unborn baby. You and your doctor will have to decide if you should take this medicine while you are pregnant or if you plan to become pregnant. If you are pregnant, your name may be listed on a pregnancy registry to track the effects of dimethyl fumarate on the baby. Tell your doctor if you are breastfeeding or plan to breastfeed. It is not known if Tecfidera passes into your breast milk. You and your doctor should decide if you will take this medicine or breastfeed.","Common Tecfidera side effects include: Flushing Flushing is one of the most common side effects of Tecfidera and symptoms may include a feeling of warmth, redness, itching, and a burning sensation. These symptoms generally begin soon after starting to take capsules and usually improve or resolve over time. Flushing affected 40% of patients compared to only 6% of patients taking a placebo in clinical trials. Usually, flushing side effect symptoms are mild or moderate, and less than 1% have serious flushing symptoms that lead to hospitalization; only 3% of patients discontinue this medicine because of flushing. The flushing side effect can be greatly reduced by: Gastrointestinal Side Effects Tecfidera’s gastrointestinal (GI) side effects include nausea, vomiting, diarrhea, abdominal pain, and dyspepsia). The amount of GI events was higher at the start of treatment (usually in month 1) and usually decreased over time in patients. Four percent (4%) of patients treated with Tecfidera and less than 1% of placebo patients discontinued due to gastrointestinal events in clinical trials Get emergency medical help if you have signs of an allergic reaction to this medication, such as hives, difficulty breathing, or swelling of your face, lips, tongue, or throat. Dimethyl fumarate may cause a serious brain infection called progressive multifocal leukoencephalopathy (PML) that can lead to disability or death. Call your doctor right away if you have problems with speech, thought, vision, or muscle movement. These symptoms may start gradually and get worse quickly. Also, call your doctor at once if you have: Also, see the Warning section. This is not a complete list of side effects, and others may occur. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088."
946,Tecvayli,"Tecvayli (teclistamab) is an FDA-approved medicine for multiple myeloma (a cancer of the bone marrow) that is used by adults who have not responded to at least 4 prior treatments, or who have relapsed despite prior treatments. Tecvayli helps the immune system fight cancer cells by binding to them, allowing the immune system to recognize and attack the cancer cells. Tecvayli is available under a special program called Risk Evaluation and Mitigation Strategy (REMS).","Tecvayli may cause side effects that are serious, life-threatening, or lead to death, including: Call your healthcare provider right away if you develop any of the signs or symptoms of CRS or neurologic problems listed below at any time during your treatment: Due to the risk of CRS and neurologic symptoms, you will need to stay in the hospital for 48 hours after all doses of Tecvayli that are part of the “step-up dosing schedule.” For more information about the “Step-up dosing schedule” see How will I receive Tecvayli? section below.","To make sure Tecvayli is safe for you, tell your doctor if you have: Pregnancy Breastfeeding","Get emergency medical help if you have signs of an allergic reaction: hives, difficulty breathing, swelling of your face, lips, tongue, or throat. Tell your medical caregivers if you have signs of cytokine release syndrome (CRS), a serious side effects: fever, chills, trouble breathing, confusion, severe vomiting or diarrhea, fast or irregular heartbeats, feeling light-headed or very tired. Tecvayli may cause serious side effects. Call your doctor at once if you have: Common Tecvayli side effects may include: This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088."
